date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,flag_transfer_error,flag_discharge_error,anomaly_flag,total_system_load,net_intake,care_load_growth_rate,backlog_indicator,load_7d_avg,load_14d_avg,volatility,high_strain,discharge_offset_ratio
2023-01-12,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,,,,,,False,12.823529411764707
2023-01-13,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,0.0,,,,,False,12.823529411764707
2023-01-14,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,0.0,,,,,False,12.823529411764707
2023-01-15,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,0.0,,,,,False,12.823529411764707
2023-01-16,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,0.0,,,,,False,12.823529411764707
2023-01-17,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,0.0,,,,,False,12.823529411764707
2023-01-18,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,0.0,-2814.0,6619.0,,0.0,False,12.823529411764707
2023-01-19,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,0.0,-2814.0,6619.0,,0.0,False,12.823529411764707
2023-01-20,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,0.0,-2814.0,6619.0,,0.0,False,12.823529411764707
2023-01-21,33.0,53.0,34.0,6566.0,436.0,False,False,False,6619.0,-402.0,0.0,-2814.0,6619.0,,0.0,False,12.823529411764707
2023-01-22,32.0,49.0,39.0,7122.0,227.0,False,False,False,7171.0,-188.0,0.08467864757843446,-2600.0,6697.857142857143,,208.63638910109339,False,5.82051282051282
2023-01-23,32.0,50.0,39.0,7280.0,181.0,False,False,False,7330.0,-142.0,0.02218477955630438,-2340.0,6799.428571428572,,311.54018314542617,False,4.641025641025641
2023-01-24,47.0,42.0,47.0,7433.0,175.0,True,False,True,7475.0,-128.0,0.021016483516483442,-2066.0,6921.714285714285,,387.6229758780708,False,3.723404255319149
2023-01-25,20.0,22.0,41.0,7538.0,180.0,True,False,True,7560.0,-139.0,0.01412619399973103,-1803.0,7056.142857142857,6837.571428571428,426.3771525193116,False,4.390243902439025
2023-01-26,20.0,22.0,41.0,7538.0,180.0,True,False,True,7560.0,-139.0,0.0,-1540.0,7190.571428571428,6904.785714285715,413.73617082341156,False,4.390243902439025
2023-01-27,20.0,22.0,41.0,7538.0,180.0,True,False,True,7560.0,-139.0,0.0,-1277.0,7325.0,6972.0,344.0813857214601,False,4.390243902439025
2023-01-28,20.0,22.0,41.0,7538.0,180.0,True,False,True,7560.0,-139.0,0.0,-1014.0,7459.428571428572,7039.214285714285,153.10329535192645,False,4.390243902439025
2023-01-29,23.0,45.0,11.0,7472.0,303.0,False,False,False,7517.0,-292.0,-0.008755638100291896,-1118.0,7508.857142857143,7103.357142857143,85.3081249968393,False,27.545454545454547
2023-01-30,34.0,54.0,29.0,7743.0,196.0,False,False,False,7797.0,-167.0,0.03626873661670227,-1143.0,7575.571428571428,7187.5,102.91235290747424,False,6.758620689655173
2023-01-31,26.0,36.0,36.0,7803.0,158.0,False,False,False,7839.0,-122.0,0.007748934521503381,-1137.0,7627.571428571428,7274.642857142857,131.59135881312983,False,4.388888888888889
2023-02-01,25.0,32.0,27.0,7903.0,231.0,False,False,False,7935.0,-204.0,0.01281558374983982,-1202.0,7681.142857142857,7368.642857142857,170.1738606753195,False,8.555555555555555
2023-02-02,15.0,13.0,23.0,7879.0,298.0,True,False,True,7892.0,-275.0,-0.003036821460205008,-1338.0,7728.571428571428,7459.571428571428,176.9150993582871,False,12.956521739130435
2023-02-03,15.0,13.0,23.0,7879.0,298.0,True,False,True,7892.0,-275.0,0.0,-1474.0,7776.0,7550.5,168.49332330985783,False,12.956521739130435
2023-02-04,15.0,13.0,23.0,7879.0,298.0,True,False,True,7892.0,-275.0,0.0,-1610.0,7823.428571428572,7641.428571428572,142.2402394341562,False,12.956521739130435
2023-02-05,16.0,18.0,15.0,7586.0,342.0,False,False,False,7604.0,-327.0,-0.03718746033760634,-1645.0,7835.857142857143,7672.357142857143,111.47709566158984,False,22.8
2023-02-06,11.0,22.0,12.0,7720.0,196.0,False,False,False,7742.0,-184.0,0.017664118112312055,-1662.0,7828.0,7701.785714285715,116.49749639656228,False,16.333333333333332
2023-02-07,16.0,20.0,20.0,7855.0,200.0,False,False,False,7875.0,-180.0,0.017487046632124414,-1720.0,7833.142857142857,7730.357142857143,117.85079347976365,False,10.0
2023-02-08,93.0,196.0,169.0,7915.0,317.0,False,False,False,8111.0,-148.0,0.007638446849140612,-1664.0,7858.285714285715,7769.714285714285,155.85111943316878,False,1.8757396449704142
2023-02-09,124.0,234.0,161.0,7908.0,353.0,False,False,False,8142.0,-192.0,-0.0008843967150978793,-1581.0,7894.0,7811.285714285715,189.80955367596002,False,2.1925465838509317
2023-02-10,124.0,234.0,161.0,7908.0,353.0,False,False,False,8142.0,-192.0,0.0,-1498.0,7929.714285714285,7852.857142857143,211.6354682669519,False,2.1925465838509317
2023-02-11,124.0,234.0,161.0,7908.0,353.0,False,False,False,8142.0,-192.0,0.0,-1415.0,7965.428571428572,7894.428571428572,224.88949667400303,False,2.1925465838509317
2023-02-12,92.0,203.0,173.0,7434.0,317.0,False,False,False,7637.0,-144.0,-0.05993930197268593,-1232.0,7970.142857142857,7903.0,216.22937556480053,False,1.8323699421965318
